part_id,nsn,part_name,part_family,criticality
PART-0117,744-240-92-617,ABS Sensor Heavy Duty,Braking Systems,Medium
PART-0118,20-586-81-888,Map Data Cartridge Extended Range,Navigation,High
PART-0119,83-833-410-329,Tow Bar Pin Field Repair,Logistics Equipment,High
PART-0120,679-127-710-740,Network Switch Module Depot Level,Cyber Systems,Medium
PART-0121,645-610-268-922,Hydraulic Filter Element Mk I,Hydraulics,Medium
PART-0122,698-164-595-418,Relay Module Mk II,Electrical,Medium
PART-0123,747-344-376-558,Mission Computer Card Mk III,Avionics,Medium
PART-0124,93-329-77-327,Fuel Control Valve Type A,Engines,High
PART-0125,253-188-438-909,Suspension Arm Type B,Ground Vehicles,Medium
PART-0126,81-473-221-901,Frequency Selector Unit Type C,Communications,High
PART-0127,842-625-687-722,Signal Conditioning Board Heavy Duty,Radar,Medium
PART-0128,821-349-53-658,Fuel Tank Vent Extended Range,Fuel Systems,Medium
PART-0129,543-475-178-400,Expansion Tank Field Repair,Cooling Systems,Medium
PART-0130,483-44-662-909,Bulkhead Repair Panel Depot Level,Structural,Low
PART-0131,575-194-258-732,Air Reservoir Fitting Mk I,Pneumatics,High
PART-0132,205-651-224-612,Ammunition Feed Guide Mk II,Weapons Support,Medium
PART-0133,511-201-884-429,Infrared Detector Mk III,Sensors,High
PART-0134,603-809-150-925,Emergency Oxygen Valve Type A,Life Support,Mission Critical
PART-0135,797-592-794-998,Grease Cartridge Type B,Maintenance Consumables,Medium
PART-0136,640-90-265-258,Universal Joint Type C,Powertrain,Medium
PART-0137,351-421-949-633,Brake Booster Valve Heavy Duty,Braking Systems,Mission Critical
PART-0138,27-230-448-835,Heading Processor Extended Range,Navigation,Low
PART-0139,778-363-401-830,Lift Cylinder Seal Field Repair,Logistics Equipment,Medium
PART-0140,8-881-132-874,Fiber Patch Cable Depot Level,Cyber Systems,Medium
PART-0141,260-741-690-735,Servo Valve Mk I,Hydraulics,High
PART-0142,130-739-676-579,Connector Kit Mk II,Electrical,Medium
PART-0143,966-557-346-720,Display Control Panel Mk III,Avionics,Medium
PART-0144,216-656-941-383,Starter Generator Type A,Engines,Medium
PART-0145,531-367-276-36,Differential Gear Set Type B,Ground Vehicles,Medium
PART-0146,400-46-325-401,Comms Power Adapter Type C,Communications,Medium
PART-0147,461-235-297-714,RF Cable Assembly Heavy Duty,Radar,Medium
PART-0148,202-670-155-507,Fuel Metering Unit Extended Range,Fuel Systems,Low
PART-0149,168-617-185-18,Fan Drive Belt Field Repair,Cooling Systems,High
PART-0150,431-324-656-776,Latch Mechanism Depot Level,Structural,High
PART-0151,418-915-284-812,Control Manifold Mk I,Pneumatics,Medium
PART-0152,772-130-768-681,Trigger Control Module Mk II,Weapons Support,Mission Critical
PART-0153,391-135-96-324,Flow Sensor Mk III,Sensors,High
PART-0154,71-57-304-496,CO2 Scrubber Cartridge Type A,Life Support,Low
PART-0155,639-685-48-634,Anti-Seize Compound Type B,Maintenance Consumables,High
PART-0156,401-932-974-81,Final Drive Gear Type C,Powertrain,Medium
PART-0157,97-527-271-638,Caliper Piston Seal Heavy Duty,Braking Systems,Medium
PART-0158,766-680-753-789,Timing Receiver Extended Range,Navigation,Mission Critical
PART-0159,769-853-163-336,Dock Ramp Hinge Field Repair,Logistics Equipment,High
PART-0160,633-261-432-524,Access Control Reader Depot Level,Cyber Systems,High
PART-0161,940-650-661-450,Pump Drive Coupling Mk I,Hydraulics,Medium
PART-0162,464-656-969-966,Ground Strap Mk II,Electrical,Mission Critical
PART-0163,191-636-895-799,Sensor Interface Board Mk III,Avionics,Low
PART-0164,311-763-704-138,Exhaust Clamp Type A,Engines,High
PART-0165,232-879-384-378,Fuel Tank Sender Type B,Ground Vehicles,Mission Critical
PART-0166,876-364-962-327,Audio Interface Cable Type C,Communications,High
PART-0167,136-980-566-921,Radar Processor Card Heavy Duty,Radar,High
PART-0168,582-952-788-154,Quick Disconnect Coupler Extended Range,Fuel Systems,Low
PART-0169,688-19-54-241,Coolant Filter Field Repair,Cooling Systems,Mission Critical
PART-0170,609-987-552-67,Armor Panel Insert Depot Level,Structural,High
PART-0171,913-395-731-336,Pressure Gauge Mk I,Pneumatics,High
PART-0172,604-253-222-961,Traverse Gear Set Mk II,Weapons Support,Medium
PART-0173,630-966-856-789,Gyro Sensor Assembly Mk III,Sensors,High
PART-0174,129-373-0-692,Ventilation Fan Type A,Life Support,High
PART-0175,822-976-177-332,Protective Cap Set Type B,Maintenance Consumables,Medium
PART-0176,933-214-148-614,Powertrain Mount Type C,Powertrain,High
PART-0177,304-683-221-684,Brake Fluid Reservoir Heavy Duty,Braking Systems,Medium
PART-0178,783-757-463-170,Navigation Switch Panel Extended Range,Navigation,Low
PART-0179,94-651-688-617,Cargo Net Kit Field Repair,Logistics Equipment,Medium
PART-0180,584-857-529-468,Rugged Tablet Battery Depot Level,Cyber Systems,Medium
PART-0181,16-721-521-915,Return Line Fitting Mk I,Hydraulics,Mission Critical
PART-0182,184-597-745-926,Load Center Panel Mk II,Electrical,Medium
PART-0183,572-767-322-363,Data Bus Adapter Mk III,Avionics,High
PART-0184,934-273-598-640,Combustion Liner Type A,Engines,Medium
PART-0185,773-694-389-770,Vehicle Control Module Type B,Ground Vehicles,Medium
PART-0186,226-588-968-152,Radio Control Head Type C,Communications,High
PART-0187,512-80-984-517,Array Panel Segment Heavy Duty,Radar,Medium
PART-0188,33-194-832-290,Fuel Sampling Kit Extended Range,Fuel Systems,High
PART-0189,859-723-34-497,Thermal Control Valve Field Repair,Cooling Systems,Medium
PART-0190,686-247-79-697,Door Seal Strip Depot Level,Structural,Medium
PART-0191,304-67-381-214,Bleed Valve Mk I,Pneumatics,Medium
PART-0192,695-975-151-655,Safety Interlock Switch Mk II,Weapons Support,Medium
PART-0193,98-518-556-835,Humidity Sensor Mk III,Sensors,Medium
PART-0194,208-690-988-539,Life Support Control Panel Type A,Life Support,Medium
PART-0195,693-778-638-897,Safety Wire Spool Type B,Maintenance Consumables,Medium
PART-0196,259-714-533-659,Transmission Control Solenoid Type C,Powertrain,Medium
PART-0197,335-528-312-116,Wheel Cylinder Heavy Duty,Braking Systems,Mission Critical
PART-0198,170-388-221-483,Waypoint Control Unit Extended Range,Navigation,Low
PART-0199,940-297-804-231,Material Handling Roller Field Repair,Logistics Equipment,High
PART-0200,948-820-656-582,System Drive Caddy Depot Level,Cyber Systems,Low
PART-0201,826-942-150-575,Hydraulic Seal Kit Mk I Variant 2,Hydraulics,High
PART-0202,519-499-994-436,Wiring Harness Mk II Variant 2,Electrical,High
PART-0203,367-806-198-540,Navigation Control Unit Mk III Variant 2,Avionics,Medium
PART-0204,390-458-334-127,Fuel Injector Assembly Type A Variant 2,Engines,High
PART-0205,715-595-86-790,Track Tensioner Assembly Type B Variant 2,Ground Vehicles,Medium
PART-0206,392-139-386-280,Radio Mounting Tray Type C Variant 2,Communications,High
PART-0207,582-275-938-101,Waveguide Section Heavy Duty Variant 2,Radar,Medium
PART-0208,855-529-653-290,Fuel Pump Cartridge Extended Range Variant 2,Fuel Systems,Medium
PART-0209,786-47-652-787,Cooling Fan Assembly Field Repair Variant 2,Cooling Systems,Mission Critical
PART-0210,422-820-6-262,Access Panel Depot Level Variant 2,Structural,Medium
PART-0211,911-253-172-633,Air Compressor Valve Mk I Variant 2,Pneumatics,Medium
PART-0212,350-331-321-24,Fire Control Cable Mk II Variant 2,Weapons Support,Medium
PART-0213,453-157-453-683,Temperature Probe Mk III Variant 2,Sensors,High
PART-0214,221-210-792-184,Oxygen Hose Assembly Type A Variant 2,Life Support,Low
PART-0215,895-955-647-29,Gasket Set Type B Variant 2,Maintenance Consumables,Low
PART-0216,46-34-330-692,Drive Shaft Assembly Type C Variant 2,Powertrain,High
PART-0217,815-78-223-91,Brake Pad Set Heavy Duty Variant 2,Braking Systems,Medium
PART-0218,275-720-393-303,GPS Antenna Extended Range Variant 2,Navigation,Medium
PART-0219,683-572-783-839,Cargo Tie-Down Strap Field Repair Variant 2,Logistics Equipment,High
PART-0220,952-995-760-441,Secure Network Card Depot Level Variant 2,Cyber Systems,Low
PART-0221,45-30-326-573,Hydraulic Pump Assembly Mk I Variant 2,Hydraulics,Medium
PART-0222,940-439-386-522,Power Distribution Module Mk II Variant 2,Electrical,Medium
PART-0223,928-850-38-321,Radar Interface Module Mk III Variant 2,Avionics,Mission Critical
PART-0224,323-872-907-971,Turbine Blade Set Type A Variant 2,Engines,Mission Critical
PART-0225,277-920-646-572,Road Wheel Bearing Type B Variant 2,Ground Vehicles,Medium
PART-0226,580-916-341-617,Encryption Module Type C Variant 2,Communications,Low
PART-0227,867-65-738-658,Radar Cooling Fan Heavy Duty Variant 2,Radar,Medium
PART-0228,138-140-210-858,Fuel Line Assembly Extended Range Variant 2,Fuel Systems,Medium
PART-0229,989-658-728-775,Heat Exchanger Core Field Repair Variant 2,Cooling Systems,Medium
PART-0230,850-715-111-458,Mounting Bracket Depot Level Variant 2,Structural,Medium
PART-0231,796-904-748-74,Pneumatic Hose Kit Mk I Variant 2,Pneumatics,Medium
PART-0232,173-423-696-485,Mount Stabilizer Bearing Mk II Variant 2,Weapons Support,Medium
PART-0233,33-657-436-358,Pressure Transducer Mk III Variant 2,Sensors,Medium
PART-0234,944-539-221-189,Breathing Regulator Type A Variant 2,Life Support,Medium
PART-0235,443-504-935-49,O-Ring Assortment Type B Variant 2,Maintenance Consumables,Medium
PART-0236,946-796-739-549,Clutch Plate Kit Type C Variant 2,Powertrain,High
PART-0237,473-693-913-471,Brake Rotor Heavy Duty Variant 2,Braking Systems,Low
PART-0238,697-213-996-952,Inertial Measurement Unit Extended Range Variant 2,Navigation,Medium
PART-0239,849-519-195-305,Pallet Lock Assembly Field Repair Variant 2,Logistics Equipment,Medium
PART-0240,600-156-941-794,Rugged Server Power Supply Depot Level Variant 2,Cyber Systems,Medium
PART-0241,366-36-763-294,Pressure Relief Valve Mk I Variant 2,Hydraulics,Medium
PART-0242,303-513-569-459,Circuit Breaker Mk II Variant 2,Electrical,High
PART-0243,205-256-252-271,Signal Processor Card Mk III Variant 2,Avionics,Medium
PART-0244,62-57-61-807,Ignition Exciter Type A Variant 2,Engines,Medium
PART-0245,31-505-449-704,Brake Caliper Kit Type B Variant 2,Ground Vehicles,Mission Critical
PART-0246,67-548-245-346,Coaxial Cable Assembly Type C Variant 2,Communications,High
PART-0247,222-157-644-866,Receiver Module Heavy Duty Variant 2,Radar,High
PART-0248,202-908-606-340,Fuel Pressure Sensor Extended Range Variant 2,Fuel Systems,High
PART-0249,600-811-802-765,Coolant Pump Field Repair Variant 2,Cooling Systems,Medium
PART-0250,862-667-914-389,Frame Reinforcement Plate Depot Level Variant 2,Structural,Low
PART-0251,937-898-817-431,Pressure Regulator Mk I Variant 2,Pneumatics,Mission Critical
PART-0252,248-84-724-908,Recoil Buffer Seal Mk II Variant 2,Weapons Support,High
PART-0253,856-247-856-684,Optical Sensor Module Mk III Variant 2,Sensors,High
PART-0254,371-25-254-911,Air Filtration Cartridge Type A Variant 2,Life Support,Low
PART-0255,64-462-846-254,Lubricant Pack Type B Variant 2,Maintenance Consumables,Medium
PART-0256,892-558-210-425,Gearbox Seal Type C Variant 2,Powertrain,Medium
PART-0257,597-587-840-405,Hydraulic Brake Line Heavy Duty Variant 2,Braking Systems,Medium
PART-0258,651-741-472-641,Compass Sensor Extended Range Variant 2,Navigation,Medium
PART-0259,108-993-575-175,Forklift Chain Field Repair Variant 2,Logistics Equipment,Low
PART-0260,37-550-32-115,Data Storage Module Depot Level Variant 2,Cyber Systems,High
PART-0261,659-234-363-324,Actuator Cylinder Mk I Variant 2,Hydraulics,High
PART-0262,533-548-427-662,Voltage Regulator Mk II Variant 2,Electrical,Medium
PART-0263,180-901-153-713,Flight Data Connector Mk III Variant 2,Avionics,Medium
PART-0264,301-259-916-173,Oil Filter Cartridge Type A Variant 2,Engines,Low
PART-0265,401-184-332-150,Transmission Filter Type B Variant 2,Ground Vehicles,Medium
PART-0266,311-141-47-294,Antenna Mast Section Type C Variant 2,Communications,Mission Critical
PART-0267,584-818-227-680,Transmitter Power Supply Heavy Duty Variant 2,Radar,High
PART-0268,199-78-761-684,Fuel Filter Housing Extended Range Variant 2,Fuel Systems,Low
PART-0269,794-838-803-328,Thermostat Housing Field Repair Variant 2,Cooling Systems,Low
PART-0270,897-919-897-286,Hinge Assembly Depot Level Variant 2,Structural,Mission Critical
PART-0271,11-424-593-223,Air Dryer Cartridge Mk I Variant 2,Pneumatics,Medium
PART-0272,58-570-404-722,Turret Slip Ring Mk II Variant 2,Weapons Support,High
PART-0273,186-780-278-144,Vibration Sensor Mk III Variant 2,Sensors,Mission Critical
PART-0274,893-882-161-685,Mask Connector Kit Type A Variant 2,Life Support,High
PART-0275,18-504-747-308,Threaded Insert Kit Type B Variant 2,Maintenance Consumables,Low
PART-0276,403-21-184-794,Torque Converter Type C Variant 2,Powertrain,Medium
PART-0277,584-904-881-647,Master Cylinder Kit Heavy Duty Variant 2,Braking Systems,Medium
PART-0278,530-811-984-868,Navigation Display Cable Extended Range Variant 2,Navigation,Low
PART-0279,165-646-799-244,Container Latch Field Repair Variant 2,Logistics Equipment,High
PART-0280,513-487-640-686,Firewall Appliance Fan Depot Level Variant 2,Cyber Systems,High
PART-0281,661-357-222-274,Hydraulic Hose Assembly Mk I Variant 2,Hydraulics,Mission Critical
PART-0282,696-185-290-807,Battery Cable Assembly Mk II Variant 2,Electrical,High
PART-0283,471-131-965-405,Antenna Coupler Mk III Variant 2,Avionics,Low
PART-0284,511-842-5-368,Compressor Seal Type A Variant 2,Engines,High
PART-0285,750-305-915-675,Steering Linkage Type B Variant 2,Ground Vehicles,High
PART-0286,527-835-987-292,Handset Assembly Type C Variant 2,Communications,High
PART-0287,285-843-260-911,Phase Shifter Unit Heavy Duty Variant 2,Radar,Medium
PART-0288,98-461-77-679,Refueling Adapter Extended Range Variant 2,Fuel Systems,Medium
PART-0289,913-382-957-667,Radiator Hose Kit Field Repair Variant 2,Cooling Systems,Medium
PART-0290,591-336-196-591,Fastener Kit Depot Level Variant 2,Structural,Medium
PART-0291,620-321-608-705,Pneumatic Actuator Mk I Variant 2,Pneumatics,High
PART-0292,472-697-406-2,Elevation Drive Motor Mk II Variant 2,Weapons Support,Medium
PART-0293,603-895-28-126,Position Encoder Mk III Variant 2,Sensors,Low
PART-0294,282-426-76-640,Pressure Bottle Valve Type A Variant 2,Life Support,High
PART-0295,985-406-470-119,Adhesive Sealant Tube Type B Variant 2,Maintenance Consumables,Medium
PART-0296,369-303-240-507,Transfer Case Chain Type C Variant 2,Powertrain,Low
PART-0297,980-89-752-536,Parking Brake Cable Heavy Duty Variant 2,Braking Systems,Medium
PART-0298,588-661-269-297,Position Reference Module Extended Range Variant 2,Navigation,Low
PART-0299,75-806-337-610,Load Sensor Pad Field Repair Variant 2,Logistics Equipment,High
PART-0300,596-137-359-2,Crypto Key Loader Cable Depot Level Variant 2,Cyber Systems,High
PART-0301,909-460-416-871,Fluid Reservoir Cap Mk I Variant 2,Hydraulics,Medium
PART-0302,746-546-712-96,Terminal Block Mk II Variant 2,Electrical,Medium
PART-0303,32-884-225-96,Transponder Module Mk III Variant 2,Avionics,High
PART-0304,984-362-349-670,Engine Mount Bracket Type A Variant 2,Engines,Low
PART-0305,674-424-87-983,Axle Seal Type B Variant 2,Ground Vehicles,Medium
PART-0306,712-351-266-2,Signal Amplifier Type C Variant 2,Communications,Medium
PART-0307,840-28-547-831,Antenna Drive Motor Heavy Duty Variant 2,Radar,Medium
PART-0308,919-642-272-201,Fuel Shutoff Valve Extended Range Variant 2,Fuel Systems,Medium
PART-0309,41-246-609-713,Temperature Sensor Field Repair Variant 2,Cooling Systems,Medium
PART-0310,925-3-597-797,Support Strut Depot Level Variant 2,Structural,Medium
PART-0311,805-799-634-757,Quick Release Valve Mk I Variant 2,Pneumatics,High
PART-0312,981-219-962-938,Sight Mount Bracket Mk II Variant 2,Weapons Support,High
PART-0313,584-979-571-282,Proximity Switch Mk III Variant 2,Sensors,Medium
PART-0314,685-725-766-357,Cabin Air Duct Type A Variant 2,Life Support,Low
PART-0315,278-755-161-119,Cleaning Solvent Kit Type B Variant 2,Maintenance Consumables,Medium
PART-0316,801-593-624-152,Engine Coupling Type C Variant 2,Powertrain,Low
PART-0317,16-24-660-836,ABS Sensor Heavy Duty Variant 2,Braking Systems,Medium
PART-0318,399-589-41-4,Map Data Cartridge Extended Range Variant 2,Navigation,Medium
PART-0319,614-783-153-316,Tow Bar Pin Field Repair Variant 2,Logistics Equipment,Low
PART-0320,282-714-228-103,Network Switch Module Depot Level Variant 2,Cyber Systems,High
PART-0321,492-663-380-389,Hydraulic Filter Element Mk I Variant 2,Hydraulics,Low
PART-0322,211-202-770-613,Relay Module Mk II Variant 2,Electrical,Medium
PART-0323,64-799-987-983,Mission Computer Card Mk III Variant 2,Avionics,High
PART-0324,522-621-97-51,Fuel Control Valve Type A Variant 2,Engines,Medium
PART-0325,144-285-916-794,Suspension Arm Type B Variant 2,Ground Vehicles,Medium
PART-0326,291-278-153-390,Frequency Selector Unit Type C Variant 2,Communications,Mission Critical
PART-0327,997-429-734-147,Signal Conditioning Board Heavy Duty Variant 2,Radar,Medium
PART-0328,408-141-638-84,Fuel Tank Vent Extended Range Variant 2,Fuel Systems,Medium
PART-0329,747-893-372-391,Expansion Tank Field Repair Variant 2,Cooling Systems,Medium
PART-0330,474-708-451-541,Bulkhead Repair Panel Depot Level Variant 2,Structural,Medium
PART-0331,307-655-578-8,Air Reservoir Fitting Mk I Variant 2,Pneumatics,High
PART-0332,267-538-603-541,Ammunition Feed Guide Mk II Variant 2,Weapons Support,Medium
PART-0333,72-883-819-23,Infrared Detector Mk III Variant 2,Sensors,Low
PART-0334,472-11-66-210,Emergency Oxygen Valve Type A Variant 2,Life Support,Low
PART-0335,736-816-96-541,Grease Cartridge Type B Variant 2,Maintenance Consumables,Mission Critical
PART-0336,872-139-624-955,Universal Joint Type C Variant 2,Powertrain,High
PART-0337,755-342-824-532,Brake Booster Valve Heavy Duty Variant 2,Braking Systems,High
PART-0338,880-369-524-977,Heading Processor Extended Range Variant 2,Navigation,Medium
PART-0339,832-484-52-707,Lift Cylinder Seal Field Repair Variant 2,Logistics Equipment,Low
PART-0340,979-771-814-943,Fiber Patch Cable Depot Level Variant 2,Cyber Systems,Medium
PART-0341,342-729-289-433,Servo Valve Mk I Variant 2,Hydraulics,Medium
PART-0342,438-481-501-761,Connector Kit Mk II Variant 2,Electrical,Mission Critical
PART-0343,343-669-576-854,Display Control Panel Mk III Variant 2,Avionics,Medium
PART-0344,559-447-169-414,Starter Generator Type A Variant 2,Engines,Low
PART-0345,900-846-663-470,Differential Gear Set Type B Variant 2,Ground Vehicles,Medium
PART-0346,243-780-374-770,Comms Power Adapter Type C Variant 2,Communications,High
PART-0347,313-606-763-417,RF Cable Assembly Heavy Duty Variant 2,Radar,High
